City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Hambantota,LK,79.7,overcast clouds,6.1241,81.1185,Bungalow 63
1,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
7,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
12,Menongue,AO,78.75,few clouds,-14.6585,17.691,Ritz Lauca
14,Komsomolskiy,UZ,83.12,overcast clouds,40.4272,71.7189,Ikathouse
16,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
19,San Eduardo,PH,82.33,overcast clouds,12.1679,125.4503,Kirum-Kirum Resort and Hotel
22,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
30,Butaritari,KI,82.63,broken clouds,3.0707,172.7902,Isles Sunset Lodge
31,Sacramento,US,85.71,broken clouds,38.4666,-121.3177,Woodside Homes
32,Atuona,PF,77.11,light rain,-9.8,-139.0333,Villa Enata
35,Hirara,JP,81.54,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
45,The Pas,CA,77.02,overcast clouds,53.8251,-101.2541,Wescana Inn
50,Buchanan,LR,85.96,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
51,Flin Flon,CA,84.38,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
62,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
67,Ha Giang,VN,77.05,light rain,22.8333,104.9833,Truong Xuan Ecolodge
70,Kankon,IN,79.23,overcast clouds,15.0167,74.0167,Palolem Beach Resort
72,Jesus Carranza,MX,82.04,broken clouds,17.4333,-95.0333,Departamento Doris
77,Bonavista,CA,77.0,clear sky,48.6499,-53.1147,Abbott's Bed & Breakfast
85,Banda Aceh,ID,80.53,overcast clouds,5.5577,95.3222,Sulthan Hotel International
89,Along,IN,76.12,broken clouds,28.1667,94.7667,Hotel West
90,Bethel,US,76.5,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
91,Touros,BR,84.63,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
99,Lhokseumawe,ID,77.86,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
101,Torbay,CA,76.75,scattered clouds,47.6666,-52.7314,Gallows Cove
102,Thompson,CA,76.05,few clouds,55.7435,-97.8558,Burntwood Hotel
104,Mahon,ES,79.36,few clouds,39.8885,4.2658,ARTIEM Capri
108,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
109,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
110,Rudraprayag,IN,78.22,light rain,30.2833,78.9833,OYO 66654 Hotel Devlok
111,Yellowknife,CA,75.49,clear sky,62.456,-114.3525,The Explorer Hotel
112,Oranjestad,AW,89.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
118,Isabela,PH,79.52,overcast clouds,6.7085,121.9711,Isawad Resort
123,Osypenko,UA,86.85,clear sky,46.9136,36.8253,
124,Ternate,ID,81.72,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
125,Labuhan,ID,77.54,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
129,La Rioja,ES,76.48,broken clouds,42.25,-2.5,Casa Concejos
131,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
132,Sao Raimundo Nonato,BR,86.54,clear sky,-9.0153,-42.6994,Real Hotel
133,Canon City,US,77.4,clear sky,38.441,-105.2424,Travel Inn Motel
134,Clinton,US,75.99,scattered clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
136,Sorong,ID,79.52,broken clouds,-0.8833,131.25,waigo splash hotel
