City_ID,City,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hambantota,6.1241,81.1185,overcast clouds,79.7,79,100,19.19,LK,2021-08-02 16:16:34
1,Ribeira Grande,38.5167,-28.7,scattered clouds,77.4,78,40,8.05,PT,2021-08-02 16:16:34
2,Fairbanks,64.8378,-147.7164,clear sky,70.92,73,1,3.44,US,2021-08-02 16:09:53
3,Hobart,-42.8794,147.3294,overcast clouds,48.25,78,100,5.01,AU,2021-08-02 16:07:43
4,Severo-Kurilsk,50.6789,156.125,overcast clouds,51.76,88,87,18.7,RU,2021-08-02 16:09:22
5,Kargil,34.5667,76.1,scattered clouds,63.72,42,48,7.99,IN,2021-08-02 16:16:35
6,Eureka,40.8021,-124.1637,overcast clouds,56.19,73,97,2.15,US,2021-08-02 16:16:36
7,Ixtapa,20.7,-105.2,broken clouds,85.23,78,75,6.91,MX,2021-08-02 16:15:59
8,Prince George,53.9166,-122.753,haze,70.25,77,1,6.91,CA,2021-08-02 16:16:36
9,Kariba,-16.5167,28.8,clear sky,70.16,49,2,3.78,ZW,2021-08-02 16:16:36
10,San Jeronimo,-11.9472,-75.2829,broken clouds,54.28,48,54,2.17,PE,2021-08-02 16:16:37
11,Port Lincoln,-34.7333,135.8667,overcast clouds,51.26,67,94,20.56,AU,2021-08-02 16:14:01
12,Menongue,-14.6585,17.691,few clouds,78.75,15,19,4.76,AO,2021-08-02 16:16:37
13,Verkhnetulomskiy,68.6073,31.7962,overcast clouds,53.73,88,100,4.27,RU,2021-08-02 16:16:38
14,Komsomolskiy,40.4272,71.7189,overcast clouds,83.12,32,100,2.3,UZ,2021-08-02 16:12:50
15,Nome,64.5011,-165.4064,light rain,56.16,94,90,12.66,US,2021-08-02 16:10:10
16,Bathsheba,13.2167,-59.5167,few clouds,86.61,70,20,11.5,BB,2021-08-02 16:14:06
17,Innisfail,-17.5333,146.0333,broken clouds,63.28,86,53,3.49,AU,2021-08-02 16:16:39
18,Busselton,-33.65,115.3333,overcast clouds,46.09,72,88,4.97,AU,2021-08-02 16:12:32
19,San Eduardo,12.1679,125.4503,overcast clouds,82.33,78,92,9.84,PH,2021-08-02 16:16:40
20,Saint-Pierre,-21.3393,55.4781,clear sky,67.68,68,0,3.44,RE,2021-08-02 16:16:41
21,New Norfolk,-42.7826,147.0587,overcast clouds,47.91,80,99,1.01,AU,2021-08-02 16:12:40
22,Avarua,-21.2078,-159.775,light rain,78.85,89,75,14.97,CK,2021-08-02 16:12:49
23,Bredasdorp,-34.5322,20.0403,scattered clouds,60.28,95,47,9.46,ZA,2021-08-02 16:08:37
24,Upernavik,72.7868,-56.1549,clear sky,46.92,64,0,4.65,GL,2021-08-02 16:10:39
25,Sciacca,37.5082,13.0881,clear sky,98.04,44,0,6.51,IT,2021-08-02 16:16:42
26,Ushuaia,-54.8,-68.3,scattered clouds,44.22,73,43,8.68,AR,2021-08-02 16:08:37
27,Albany,42.6001,-73.9662,scattered clouds,74.03,68,27,3.0,US,2021-08-02 16:07:45
28,Tasiilaq,65.6145,-37.6368,light rain,46.56,82,100,2.39,GL,2021-08-02 16:12:39
29,Luderitz,-26.6481,15.1594,clear sky,71.51,37,0,5.64,NA,2021-08-02 16:08:40
30,Butaritari,3.0707,172.7902,broken clouds,82.63,73,66,8.16,KI,2021-08-02 16:14:03
31,Sacramento,38.4666,-121.3177,broken clouds,85.71,67,75,4.0,US,2021-08-02 16:15:13
32,Atuona,-9.8,-139.0333,light rain,77.11,77,32,17.25,PF,2021-08-02 16:09:02
33,Alofi,-19.0595,-169.9187,broken clouds,73.29,73,75,10.36,NU,2021-08-02 16:14:35
34,Castro,-24.7911,-50.0119,few clouds,63.95,54,11,0.74,BR,2021-08-02 16:12:42
35,Hirara,24.8,125.2833,overcast clouds,81.54,80,100,15.7,JP,2021-08-02 16:16:43
36,Mataura,-46.1927,168.8643,overcast clouds,44.47,95,100,4.23,NZ,2021-08-02 16:08:39
37,Rabo De Peixe,37.8,-25.5833,few clouds,74.71,60,20,8.05,PT,2021-08-02 16:16:44
38,Kidal,18.4411,1.4078,overcast clouds,99.99,26,98,9.64,ML,2021-08-02 16:15:05
39,Syracuse,37.0881,15.2792,clear sky,100.62,60,2,9.42,IT,2021-08-02 16:16:44
40,Kasempa,-13.4584,25.8338,scattered clouds,70.66,29,26,4.76,ZM,2021-08-02 16:16:45
41,Leningradskiy,69.3833,178.4167,light snow,32.74,99,100,9.89,RU,2021-08-02 16:11:25
42,Vaini,-21.2,-175.2,few clouds,68.16,77,20,10.36,TO,2021-08-02 16:12:35
43,Ostrovnoy,68.0531,39.5131,scattered clouds,62.8,77,50,11.95,RU,2021-08-02 16:16:45
44,Hilo,19.7297,-155.09,light rain,71.8,88,90,6.91,US,2021-08-02 16:12:44
45,The Pas,53.8251,-101.2541,overcast clouds,77.02,61,90,8.75,CA,2021-08-02 16:16:46
46,Arraial Do Cabo,-22.9661,-42.0278,clear sky,68.34,76,7,15.7,BR,2021-08-02 16:12:48
47,Tyukhtet,56.5389,89.3011,light rain,60.06,85,98,6.55,RU,2021-08-02 16:16:46
48,Punta Arenas,-53.15,-70.9167,few clouds,44.71,61,20,25.32,CL,2021-08-02 16:13:35
49,Adilcevaz,38.8039,42.7342,broken clouds,71.31,61,72,17.58,TR,2021-08-02 16:16:47
50,Buchanan,5.8808,-10.0467,broken clouds,85.96,64,56,9.64,LR,2021-08-02 16:16:47
51,Flin Flon,54.7682,-101.865,clear sky,84.38,31,0,6.17,CA,2021-08-02 16:11:47
52,Ilula,-7.6766,36.0366,scattered clouds,57.76,81,29,6.06,TZ,2021-08-02 16:16:47
53,Kruisfontein,-34.0033,24.7314,broken clouds,55.89,91,59,11.48,ZA,2021-08-02 16:14:10
54,Bluff,-46.6,168.3333,overcast clouds,44.8,67,100,14.45,NZ,2021-08-02 16:14:08
55,Tuktoyaktuk,69.4541,-133.0374,overcast clouds,47.59,86,100,6.15,CA,2021-08-02 16:09:52
56,Klaksvik,62.2266,-6.589,overcast clouds,50.92,80,100,11.23,FO,2021-08-02 16:16:48
57,Kodiak,57.79,-152.4072,fog,53.11,94,90,6.91,US,2021-08-02 16:14:32
58,Airai,-8.9266,125.4092,broken clouds,56.77,84,73,3.0,TL,2021-08-02 16:15:15
59,Constitucion,-35.3333,-72.4167,clear sky,61.0,52,0,10.25,CL,2021-08-02 16:13:59
60,Cape Town,-33.9258,18.4232,clear sky,65.1,73,0,1.01,ZA,2021-08-02 16:10:54
61,Constantine,36.365,6.6147,broken clouds,91.49,33,73,8.3,DZ,2021-08-02 16:14:41
62,Victoria,22.2855,114.1577,overcast clouds,86.38,82,100,1.01,HK,2021-08-02 16:14:32
63,Goderich,43.7501,-81.7165,clear sky,73.04,77,7,6.91,CA,2021-08-02 16:15:48
64,Susangerd,31.5608,48.1831,clear sky,102.22,8,0,6.17,IR,2021-08-02 16:16:49
65,Khatanga,71.9667,102.5,overcast clouds,64.08,64,98,10.31,RU,2021-08-02 16:12:17
66,Nanticoke,41.2054,-76.0049,clear sky,73.85,67,3,1.99,US,2021-08-02 16:13:41
67,Ha Giang,22.8333,104.9833,light rain,77.05,95,27,3.22,VN,2021-08-02 16:16:50
68,Moba,33.2288,105.0179,clear sky,61.65,89,5,4.68,CN,2021-08-02 16:16:50
69,Qaanaaq,77.484,-69.3632,overcast clouds,45.32,63,100,4.56,GL,2021-08-02 16:08:49
70,Kankon,15.0167,74.0167,overcast clouds,79.23,85,97,11.48,IN,2021-08-02 16:16:51
71,Svetlogorsk,52.6333,29.7333,broken clouds,68.7,74,72,17.25,BY,2021-08-02 16:16:51
72,Jesus Carranza,17.4333,-95.0333,broken clouds,82.04,82,82,8.12,MX,2021-08-02 16:16:51
73,Vostok,46.4856,135.8833,scattered clouds,65.88,90,47,2.68,RU,2021-08-02 16:10:29
74,Rikitea,-23.1203,-134.9692,broken clouds,68.52,55,83,21.92,PF,2021-08-02 16:05:09
75,Lebu,-37.6167,-73.65,scattered clouds,55.2,74,45,18.75,CL,2021-08-02 16:09:20
76,Chuy,-33.6971,-53.4616,scattered clouds,58.33,74,37,7.27,UY,2021-08-02 16:14:08
77,Bonavista,48.6499,-53.1147,clear sky,77.0,65,0,8.84,CA,2021-08-02 16:16:52
78,Iqaluit,63.7506,-68.5145,overcast clouds,49.57,75,100,2.93,CA,2021-08-02 16:08:47
79,Kununurra,-15.7667,128.7333,broken clouds,73.38,78,75,3.44,AU,2021-08-02 16:16:53
80,Hermanus,-34.4187,19.2345,clear sky,60.8,83,0,9.13,ZA,2021-08-02 16:13:56
81,Anadyr,64.75,177.4833,light rain,41.0,93,100,15.01,RU,2021-08-02 16:09:50
82,Carnarvon,-24.8667,113.6333,clear sky,50.07,41,0,11.5,AU,2021-08-02 16:13:59
83,Hervey Bay,-25.2986,152.8535,clear sky,68.04,90,2,10.42,AU,2021-08-02 16:12:34
