City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Alofi,-19.0595,-169.9187,67.89,94,100,3.44,NU,2021-07-28 18:25:43
1,Kloulklubed,7.0419,134.2556,75.7,76,92,4.61,PW,2021-07-28 18:25:43
2,Hvolsvollur,63.7533,-20.2243,62.82,65,99,7.67,IS,2021-07-28 18:25:44
3,Homa Bay,-0.5273,34.4571,74.88,68,72,5.77,KE,2021-07-28 18:25:44
4,Kapaa,22.0752,-159.319,79.12,80,75,6.91,US,2021-07-28 18:25:44
5,Ribeira Grande,38.5167,-28.7,77.4,65,40,13.8,PT,2021-07-28 18:25:45
6,Shingu,33.7333,135.9833,80.91,91,4,5.23,JP,2021-07-28 18:25:45
7,Ushuaia,-54.8,-68.3,46.02,81,40,4.61,AR,2021-07-28 18:25:05
8,Kodiak,57.79,-152.4072,56.71,72,90,5.75,US,2021-07-28 18:25:46
9,Saint-Philippe,-21.3585,55.7679,74.79,88,100,17.96,RE,2021-07-28 18:25:46
10,Mataura,-46.1927,168.8643,42.48,97,32,4.0,NZ,2021-07-28 18:25:47
11,Rikitea,-23.1203,-134.9692,74.34,78,99,13.18,PF,2021-07-28 18:24:21
12,Vao,-22.6667,167.4833,68.85,65,94,16.24,NC,2021-07-28 18:22:47
13,Khatanga,71.9667,102.5,73.83,58,99,7.45,RU,2021-07-28 18:24:14
14,Port Alfred,-33.5906,26.891,61.32,76,57,5.19,ZA,2021-07-28 18:25:48
15,Formosa,-26.1775,-58.1781,60.78,25,0,16.11,AR,2021-07-28 18:25:48
16,Dikson,73.5069,80.5464,37.83,93,64,13.47,RU,2021-07-28 18:25:49
17,Hasaki,35.7333,140.8333,77.29,87,14,18.48,JP,2021-07-28 18:21:25
18,Saint George,37.1041,-113.5841,97.36,29,27,1.99,US,2021-07-28 18:25:50
19,Arraial Do Cabo,-22.9661,-42.0278,73.36,100,90,12.66,BR,2021-07-28 18:25:50
20,Northam,51.0333,-4.2167,64.02,76,17,20.31,GB,2021-07-28 18:25:51
21,Tuktoyaktuk,69.4541,-133.0374,48.2,93,90,11.5,CA,2021-07-28 18:25:51
22,Bengkulu,-3.8004,102.2655,75.18,84,85,4.65,ID,2021-07-28 18:21:00
23,Sao Joao Da Barra,-21.6403,-41.0511,78.89,67,16,19.35,BR,2021-07-28 18:25:52
24,Butaritari,3.0707,172.7902,81.68,74,86,10.58,KI,2021-07-28 18:25:52
25,Waw,7.7029,27.9953,72.57,81,64,4.85,SS,2021-07-28 18:25:52
26,Olafsvik,64.8945,-23.7142,53.65,84,94,14.36,IS,2021-07-28 18:25:53
27,Bluff,-46.6,168.3333,42.8,87,37,9.31,NZ,2021-07-28 18:25:53
28,Punta Arenas,-53.15,-70.9167,48.31,76,0,19.57,CL,2021-07-28 18:25:54
29,Albany,42.6001,-73.9662,78.93,58,73,4.56,US,2021-07-28 18:25:24
30,Hilo,19.7297,-155.09,80.62,79,90,8.05,US,2021-07-28 18:25:54
31,Havelock,34.8791,-76.9013,85.95,88,75,4.61,US,2021-07-28 18:25:55
32,Vondrozo,-22.8167,47.2833,56.91,99,32,1.16,MG,2021-07-28 18:25:55
33,Ponta Do Sol,32.6667,-17.1,77.72,74,3,2.08,PT,2021-07-28 18:25:56
34,Castro,-24.7911,-50.0119,51.85,39,45,10.83,BR,2021-07-28 18:25:56
35,Buin,-33.7333,-70.75,71.92,11,0,2.62,CL,2021-07-28 18:25:57
36,Atuona,-9.8,-139.0333,77.47,75,61,22.5,PF,2021-07-28 18:25:57
37,Tasiilaq,65.6145,-37.6368,51.96,68,87,2.28,GL,2021-07-28 18:25:58
38,Elko,41.0002,-115.5012,84.06,23,27,5.01,US,2021-07-28 18:25:58
39,Saskylakh,71.9167,114.0833,58.51,54,74,9.55,RU,2021-07-28 18:25:59
40,Severo-Kurilsk,50.6789,156.125,55.04,98,99,7.49,RU,2021-07-28 18:25:59
41,Rio Gallegos,-51.6226,-69.2181,48.25,76,75,10.36,AR,2021-07-28 18:26:00
42,Maues,-3.3836,-57.7186,98.65,24,3,3.49,BR,2021-07-28 18:26:00
43,Busselton,-33.65,115.3333,58.08,78,46,24.25,AU,2021-07-28 18:26:00
44,Hermanus,-34.4187,19.2345,55.8,72,23,18.32,ZA,2021-07-28 18:26:01
45,Tocopilla,-22.092,-70.1979,67.46,54,28,7.02,CL,2021-07-28 18:26:01
